;Kingdom;Phylum;Class;Order;Family;Genus
ASV_1;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_2;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;NA;NA
ASV_3;Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;NA;NA
ASV_4;Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae;NA
ASV_5;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_6;Bacteria;Myxococcota;bacteriap25;NA;NA;NA
ASV_7;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;NA;NA
ASV_8;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;NA;NA
ASV_9;Bacteria;PAUC34f;NA;NA;NA;NA
ASV_10;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA
ASV_11;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_12;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;NA;NA
ASV_13;Bacteria;PAUC34f;NA;NA;NA;NA
ASV_14;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Coraliomargarita
ASV_15;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta
ASV_16;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_17;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_18;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_19;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_20;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
ASV_21;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_23;Bacteria;PAUC34f;NA;NA;NA;NA
ASV_24;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_25;Bacteria;Myxococcota;bacteriap25;NA;NA;NA
ASV_26;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA
ASV_27;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;NA
ASV_28;Bacteria;Proteobacteria;Alphaproteobacteria;AT-s3-44;NA;NA
ASV_29;Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902
ASV_30;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_31;Bacteria;Acidobacteriota;Subgroup 11;NA;NA;NA
ASV_32;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_33;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;NA;NA
ASV_35;Bacteria;Proteobacteria;Gammaproteobacteria;JTB23;NA;NA
ASV_36;Bacteria;Myxococcota;bacteriap25;NA;NA;NA
ASV_37;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_38;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_39;Bacteria;PAUC34f;NA;NA;NA;NA
ASV_40;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_41;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_42;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_43;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group
ASV_44;Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade
ASV_45;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta
ASV_46;Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;Puniceispirillales Incertae Sedis;Constrictibacter
ASV_47;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira
ASV_48;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_49;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_50;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group
ASV_51;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta
ASV_52;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_53;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_54;Bacteria;AncK6;NA;NA;NA;NA
ASV_55;Bacteria;AncK6;NA;NA;NA;NA
ASV_56;Bacteria;Chloroflexi;TK30;NA;NA;NA
